Taxon	HMPMockV1.1.Even1	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.047593664	0.047593664	0.21431633100000003	0.21431633100000003
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.095187328	0.095187328	0.002357479	0.002357479
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.047593664	0.047593664	0.00021431599999999999	0.00021431599999999999
k__Bacteria;p__Firmicutes;c__Bacilli	0.5235303039999999	0.5235303039999999	0.5192884680000001	0.5192884680000001
k__Bacteria;p__Firmicutes;c__Clostridia	0.047593664	0.047593664	0.021431633	0.021431633
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.047593664	0.047593664	0.021431633	0.021431633
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.047593664	0.047593664	0.002143163	0.002143163
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.047593664	0.047593664	0.002143163	0.002143163
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.142780992	0.142780992	0.23789112700000004	0.23789112700000004
k__Bacteria;p__Thermi;c__Deinococci	0.047593664	0.047593664	0.00021431599999999999	0.00021431599999999999
k__Fungi;p__Ascomycota;c__Saccharomycetes	0.0005330490000000001	0.0005330490000000001	0.00021431599999999999	0.00021431599999999999
