dataset	level	iteration	method	parameters	seq_id               	observed_taxonomy	expected_taxonomy	result	mismatch_level
B1-REF	1	1	rdp	0.6	2136916	k__Bacteria	k__Bacteria; p__Lentisphaerae	match	1
B1-REF	1	1	rdp	0.6	1120396	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria; p__Synergistetes	overclassification	1
B1-REF	1	1	rdp	0.6	2884179	k__Bacteria;p__Proteobacteria	k__Bacteria; p__Cyanobacteria	overclassification	1
B1-REF	1	1	rdp	0.6	835202	k__Bacteria;p__Proteobacteria	k__Bacteria; p__Fusobacteria	overclassification	1
B1-REF	1	1	rdp	0.6	824872	k__Bacteria	k__Bacteria; p__Thermi	match	1
B1-REF	1	1	rdp	0.6	773133	k__Archaea	k__Archaea; p__Euryarchaeota	match	1
B1-REF	1	1	rdp	0.6	816056	k__Bacteria	k__Bacteria; p__Acidobacteria	match	1
B1-REF	1	1	rdp	0.6	1138255	k__Bacteria	k__Bacteria; p__Aquificae	match	1
B1-REF	1	1	rdp	0.6	1550344	k__Bacteria	k__Bacteria; p__Thermotogae	match	1
B1-REF	1	1	rdp	0.6	4183921	k__Bacteria	k__Bacteria; p__Chloroflexi	match	1
B1-REF	1	1	rdp	0.6	820546	k__Bacteria	k__Bacteria; p__Chlamydiae	match	1
B1-REF	1	1	rdp	0.6	4321924	k__Bacteria	k__Bacteria; p__Actinobacteria	match	1
