Precison-Recall Output 
Values: precision,recall,f-measure,true positive, false positive,false negative
Set	Level_Method	Level	Method	Community	Sample	P	R	F	TP	FP	FN
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	Broad-1	HMPMockV1.1.Even1	0.75	0.428571428571429	0.545454545454545	3	1	4
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	Broad-1	HMPMockV1.1.Even2	0.75	0.428571428571429	0.545454545454545	3	1	4
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	Broad-1	HMPMockV1.2.Staggered2	0.666666666666667	0.285714285714286	0.4	2	1	5
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	Broad-1	HMPMockV1.2.Staggered1	0.666666666666667	0.285714285714286	0.4	2	1	5
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	Broad-1	HMPMockV1.1.Even1	0.75	0.428571428571429	0.545454545454545	3	1	4
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	Broad-1	HMPMockV1.1.Even2	0.75	0.428571428571429	0.545454545454545	3	1	4
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	Broad-1	HMPMockV1.2.Staggered2	0.666666666666667	0.285714285714286	0.4	2	1	5
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	Broad-1	HMPMockV1.2.Staggered1	0.666666666666667	0.285714285714286	0.4	2	1	5
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	Broad-1	HMPMockV1.1.Even1	0.75	0.428571428571429	0.545454545454545	3	1	4
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	Broad-1	HMPMockV1.1.Even2	0.75	0.428571428571429	0.545454545454545	3	1	4
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	Broad-1	HMPMockV1.2.Staggered2	0.666666666666667	0.285714285714286	0.4	2	1	5
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	Broad-1	HMPMockV1.2.Staggered1	0.666666666666667	0.285714285714286	0.4	2	1	5
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	Broad-1	HMPMockV1.1.Even1	0.75	0.428571428571429	0.545454545454545	3	1	4
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	Broad-1	HMPMockV1.1.Even2	0.75	0.428571428571429	0.545454545454545	3	1	4
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	Broad-1	HMPMockV1.2.Staggered2	0.666666666666667	0.285714285714286	0.4	2	1	5
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	Broad-1	HMPMockV1.2.Staggered1	0.666666666666667	0.285714285714286	0.4	2	1	5
2 mothur_0.6	2 mothur_0.6	2	mothur_0.6	Broad-1	HMPMockV1.1.Even1	0.75	0.428571428571429	0.545454545454545	3	1	4
